amfi_code,CAGR_pct,Sharpe_Ratio,Alpha_pct,Max_Drawdown_pct,expense_ratio_pct,CAGR_rank,Sharpe_rank,Alpha_rank,Expense_rank,DD_rank,Fund_Score,Fund_Score_100
120505,32.801599480386166,1.1801011976606492,29.301371282563316,-18.188513572116292,1.36,1.0,5.0,3.0,15.0,25.0,6.9,100.0
148567,30.949920362874206,1.4482911703262598,27.11501636821103,-11.265729075028275,1.46,5.0,1.0,7.0,23.0,8.0,7.3999999999999995,98.29205807002562
120843,30.883325525154603,1.3067439695428409,27.27835993505962,-12.97396816518679,1.45,6.0,2.0,5.0,22.0,13.0,7.8999999999999995,96.58411614005124
100033,30.099703552874523,1.093698743534631,27.234304039579733,-16.217208574644847,1.38,7.0,7.0,6.0,17.0,20.0,9.600000000000001,90.77711357813834
148569,31.924485848158724,1.2349300257743294,28.347336470728674,-16.39674294693263,1.6,4.0,3.0,4.0,36.5,21.0,10.325,88.30059777967548
119598,32.398083984645545,0.9453082575156095,30.111441933100018,-28.706005721764548,1.43,2.0,14.0,1.0,21.0,36.0,11.049999999999999,85.82408198121264
120504,23.277447532730513,1.0265242847993001,21.20943009940057,-12.588275606922517,0.8,13.0,10.0,13.0,12.0,12.0,12.0,82.57899231426131
119552,21.50802178549933,0.9532794968660104,19.82932218749148,-11.803493502764296,0.66,15.0,12.0,15.0,4.0,11.0,12.2,81.89581554227155
149324,32.262107528416564,0.9497958246616031,29.81786893056835,-31.171900300634213,1.52,3.0,13.0,2.0,26.5,37.0,12.225000000000001,81.81041844577284
119551,25.784920849464086,1.2082665673727175,23.219648016717326,-15.012385498645331,1.54,10.0,4.0,10.0,30.5,17.0,12.274999999999999,81.6396242527754
119094,28.192608222062464,0.9982309868636413,25.997054053321055,-20.960883862039193,1.38,9.0,11.0,9.0,17.0,28.0,12.6,80.52946199829205
149323,29.558105232568344,1.1321218524747243,26.583594480787763,-17.24810575345138,1.61,8.0,6.0,8.0,38.0,22.0,13.399999999999999,77.79675491033305
118632,24.03119561352478,1.0816591793457042,21.728068775563276,-17.41407508665723,1.51,11.0,8.0,11.0,24.5,23.0,13.475000000000001,77.54056362083688
101206,23.520488754230385,1.0272133278753695,21.39447485061358,-11.291596329323072,1.6,12.0,9.0,12.0,36.5,9.0,14.625,73.61229718189581
125497,19.003613208378557,0.7757902498211205,17.89129568352085,-15.200013055606398,0.92,16.0,18.0,16.0,14.0,18.0,16.4,67.54910333048676
148568,22.499840384352243,0.9262873467360146,20.79171509667248,-15.27259422823477,1.52,14.0,15.0,14.0,26.5,19.0,16.625,66.78052946199828
